-2585.2349,-2594.3708,-2600.0957,-2609.148
-2606.3386,-2598.1086,-2593.1814,-2593.508
-2594.4382,-2596.5293,-2603.487,-2610.0532
-2589.2507,-2592.005,-2596.1707,-2584.7925
-2607.965,-2611.2278,-2617.6438,-2606.042
-2557.652,-2563.0327,-2568.5884,-2568.5134
-2600.8877,-2592.929,-2587.3699,-2564.8882
-2589.1646,-2599.4028,-2599.931,-2596.8975
-2540.9263,-2532.8035,-2522.5935,-2533.2559
-2600.6582,-2602.3318,-2605.113,-2609.5928
-2597.1943,-2586.4253,-2565.9504,-2548.6099
-2614.7532,-2612.027,-2615.5884,-2608.133
-2562.277,-2553.751,-2530.5166,-2532.876
-2594.255,-2603.5608,-2616.8433,-2611.4888
-2595.7441,-2598.0205,-2604.1787,-2611.5957
-2520.5356,-2522.3916,-2522.68,-2523.477
-2601.09,-2606.4055,-2611.4016,-2611.229
-2600.785,-2604.7195,-2610.7515,-2608.161
-2596.565,-2599.0015,-2605.1777,-2611.6711
-2590.5562,-2591.32,-2595.943,-2603.8164
-2591.268,-2596.16,-2605.2295,-2609.5964
-2571.5872,-2576.9077,-2580.1226,-2578.6082
-2599.601,-2605.0593,-2611.6814,-2614.1619
-2597.5583,-2590.283,-2585.6143,-2598.4434
-2610.2627,-2613.8982,-2621.473,-2611.4338
-2584.2756,-2589.2437,-2586.3381,-2588.0688
-2602.562,-2606.736,-2610.6648,-2611.4666
-2583.0198,-2593.9417,-2606.3123,-2603.4265
-2590.7668,-2596.783,-2581.9536,-2570.8174
-2597.5332,-2588.5066,-2584.9517,-2591.5696
-2590.3162,-2583.1377,-2567.9229,-2567.5557
-2614.045,-2605.1482,-2600.1812,-2615.846
-2603.6548,-2603.5293,-2601.9849,-2607.0732
-2594.443,-2582.8699,-2565.7788,-2553.4287
-2602.6655,-2604.526,-2607.3518,-2614.394
-2599.557,-2592.6912,-2587.813,-2606.884
-2569.521,-2565.978,-2559.1956,-2568.0693
-2604.4128,-2606.3079,-2613.056,-2615.4521
-2597.6157,-2600.5166,-2606.34,-2610.1892
-2611.5244,-2599.7842,-2594.805,-2606.9512
-2591.7698,-2593.0054,-2594.337,-2588.6096
-2614.4507,-2613.2527,-2617.0723,-2605.7095
-2609.0562,-2599.1824,-2589.2876,-2597.1814
-2602.9915,-2606.8328,-2611.9397,-2606.8381
-2587.4448,-2594.458,-2605.9102,-2606.7446
-2589.4895,-2593.4773,-2603.6538,-2613.4988
-2595.4802,-2601.9697,-2610.2737,-2612.4414
-2599.4902,-2601.0862,-2605.6636,-2612.3718
-2594.8608,-2586.2322,-2580.7234,-2565.0042
-1016.3383,-1012.1538,-1011.33075,-1002.1687
